MsgOut,BytesOut,MsgIn,BytesIn
0,0,9509,1617303,
0,0,24377,7095841,
16239,3116245,0,0,
15796,3560478,0,0,
0,0,5468,1754878,
0,0,31239,7832469,
18756,3625434,0,0,
20317,4299739,0,0,
0,0,8613,2393985,
0,0,32138,8143816,
17076,1980138,0,0,
28313,6985149,0,0,
0,0,10650,2324204,
0,0,34851,9233419,
16296,2061662,0,0,
32268,7586524,0,0,
0,0,14191,3380305,
0,0,36745,9420391,
18156,2722604,0,0,
34640,7706956,0,0,
0,0,13369,3083751,
0,0,41894,10780744,
22190,3411788,0,0,
36282,7818544,0,0,
0,0,12234,2436398,
0,0,48549,12320693,
22111,2785289,0,0,
41338,8967840,0,0,
0,0,16370,2953448,
0,0,48748,12432052,
28016,2761046,0,0,
42246,9674344,0,0,
0,0,13178,2623926,
0,0,55139,13392247,
27615,2264039,0,0,
47348,10752026,0,0,
0,0,15811,2703389,
0,0,56055,13969989,
28823,2445541,0,0,
50861,11145863,0,0,
0,0,17584,2978056,
0,0,57296,14205132,
28110,2771606,0,0,
54972,11464610,0,0,
0,0,15640,1289732,
0,0,62822,16351434,
27907,2327523,0,0,
60888,12702636,0,0,
0,0,12955,1255197,
0,0,68149,16652707,
29699,2611185,0,0,
62361,13019843,0,0,
0,0,15087,1588145,
0,0,68264,16772652,
28618,2965090,0,0,
66389,13359147,0,0,
0,0,13436,794646,
0,0,73066,17857818,
28397,2901855,0,0,
69404,14043560,0,0,
0,0,13467,897077,
0,0,74975,18032449,
27016,2902348,0,0,
74549,14954115,0,0,
0,0,14627,881013,
0,0,76439,18312231,
27916,3266442,0,0,
75603,15058053,0,0,
0,0,13953,939417,
0,0,79262,18492044,
28422,3100210,0,0,
76662,15551864,0,0,
0,0,13624,996476,
0,0,80749,18604013,
29388,3271066,0,0,
76958,15615930,0,0,
0,0,12891,827025,
0,0,84938,18956984,
26326,2465474,0,0,
80885,16544859,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,1,75,
0,0,0,0,
0,0,0,0,
2,46,0,0,
0,0,0,0,
0,0,5,267,
3,107,0,0,
3,121,0,0,
0,0,3,161,
0,0,6,342,
5,257,0,0,
4,196,0,0,
0,0,3,117,
0,0,8,472,
3,161,0,0,
7,367,0,0,
0,0,6,234,
0,0,8,472,
2,140,0,0,
9,463,0,0,
0,0,6,234,
0,0,11,697,
4,290,0,0,
10,538,0,0,
0,0,5,159,
0,0,13,847,
4,290,0,0,
11,613,0,0,
0,0,5,159,
0,0,14,912,
4,290,0,0,
12,688,0,0,
0,0,49,34941,
0,0,19,3113,
52,35176,0,0,
13,763,0,0,
0,0,287,148081,
0,0,122,85570,
357,225465,0,0,
27,9385,0,0,
0,0,727,308057,
0,0,419,216345,
868,482498,0,0,
121,64413,0,0,
0,0,1355,653505,
0,0,977,412369,
1537,477281,0,0,
554,444206,0,0,
0,0,1659,868913,
0,0,2120,820320,
2568,583246,0,0,
2060,866582,0,0,
0,0,3753,1031385,
0,0,3106,1323512,
3453,1042609,0,0,
4078,1168870,0,0,
0,0,4505,1320551,
0,0,4688,1801046,
3803,1130223,0,0,
6114,1810620,0,0,
0,0,6212,1900882,
0,0,6218,2199160,
5059,1171597,0,0,
7581,2297691,0,0,
0,0,5760,1951954,
0,0,11272,3299208,
6900,983678,0,0,
9760,3023714,0,0,
0,0,6608,1963370,
0,0,14927,4371901,
8125,1329575,0,0,
12508,3293680,0,0,
0,0,8563,2797087,
0,0,15861,4421251,
10003,1917699,0,0,
14760,3463748,0,0,
0,0,10077,2980111,
0,0,17471,5230973,
12361,1948433,0,0,
16929,4142619,0,0,
0,0,11407,3497875,
0,0,20698,5876156,
12275,1530871,0,0,
21642,5387864,0,0,
0,0,14458,4466288,
0,0,20941,5984843,
10250,1660520,0,0,
28070,6312738,0,0,
0,0,13555,2910799,
0,0,26334,8260334,
12687,3147017,0,0,
32003,6487405,0,0,
0,0,14053,3274731,
0,0,30709,8873279,
13696,2985010,0,0,
36737,8156671,0,0,
0,0,15179,3270405,
0,0,34181,9797989,
15162,3283378,0,0,
39349,8795857,0,0,
0,0,16107,3425997,
0,0,39064,10345260,
15913,3110403,0,0,
42855,9800423,0,0,
0,0,16696,2694560,
0,0,44667,11675785,
14823,2290197,0,0,
46743,11196677,0,0,
0,0,16121,2515315,
0,0,48132,12255388,
14079,2020639,0,0,
51945,12322261,0,0,
0,0,18043,2653309,
0,0,50683,12670395,
13500,2386410,0,0,
57712,13173020,0,0,
0,0,17755,2516921,
0,0,54363,13392219,
13456,2658246,0,0,
61707,14115019,0,0,
0,0,16251,1788409,
0,0,60310,14800240,
13373,3073277,0,0,
65034,15004056,0,0,
0,0,13931,1712415,
0,0,67669,15678795,
14674,2953656,0,0,
67188,15938146,0,0,
0,0,14858,1475938,
0,0,70104,16577932,
19739,3671799,0,0,
67542,15976852,0,0,
0,0,12788,1301820,
0,0,76080,17361556,
18819,2542013,0,0,
71307,17816329,0,0,
0,0,12908,1673558,
0,0,78118,17477628,
20746,2787442,0,0,
72995,18331791,0,0,
0,0,14401,2106867,
0,0,80294,17652652,
20267,2912411,0,0,
75603,18787673,0,0,
0,0,15733,2360949,
0,0,81941,17910243,
19462,2511910,0,0,
78463,19511355,0,0,
0,0,14804,1918226,
0,0,84593,18645181,
21738,2752092,0,0,
79273,19564259,0,0,
0,0,16226,1498846,
0,0,85666,19269052,
18754,1686664,0,0,
83588,20801590,0,0,
0,0,10564,1263728,
0,0,91956,19607636,
14848,1529592,0,0,
87934,21016286,0,0,
0,0,10405,758261,
0,0,92963,20158837,
11411,1252033,0,0,
91689,21311177,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,2,96,
0,0,0,0,
1,21,0,0,
2,46,0,0,
0,0,4,192,
0,0,1,75,
3,117,0,0,
3,121,0,0,
0,0,2,150,
0,0,4,192,
3,117,0,0,
4,196,0,0,
0,0,2,150,
0,0,5,267,
3,117,0,0,
5,271,0,0,
0,0,2,96,
0,0,9,567,
6,278,0,0,
6,346,0,0,
0,0,3,171,
0,0,11,717,
7,343,0,0,
8,496,0,0,
0,0,5,267,
0,0,15,1017,
6,396,0,0,
14,818,0,0,
0,0,4,236,
0,0,20,1338,
5,365,0,0,
19,1139,0,0,
0,0,76,45166,
0,0,34,6906,
92,47820,0,0,
23,1439,0,0,
0,0,343,181173,
0,0,98,24598,
398,150404,0,0,
46,12440,0,0,
0,0,645,334987,
0,0,339,138869,
863,406409,0,0,
231,46639,0,0,
0,0,1136,641058,
0,0,746,256386,
1550,712818,0,0,
535,196997,0,0,
0,0,2231,886883,
0,0,1565,708397,
2248,1061016,0,0,
949,349721,0,0,
0,0,2642,1342516,
0,0,2782,1205878,
3879,1378187,0,0,
1423,652463,0,0,
0,0,4689,1961927,
0,0,3689,1735663,
4611,951435,0,0,
3681,1885459,0,0,
0,0,6080,2444876,
0,0,5813,2424995,
6762,1572302,0,0,
6018,2218806,0,0,
0,0,5958,1731924,
0,0,9315,3975473,
10128,2720248,0,0,
8652,2614574,0,0,
0,0,6721,1684061,
0,0,11640,4814508,
9498,3239610,0,0,
15120,3824692,0,0,
0,0,9140,1909104,
0,0,13000,5265796,
11100,4168608,0,0,
16507,4425937,0,0,
0,0,9722,2661308,
0,0,15878,5471770,
10604,3668236,0,0,
20357,6053803,0,0,
0,0,12279,2749055,
0,0,18648,6699918,
10791,4134999,0,0,
23150,6614980,0,0,
0,0,10724,2414084,
0,0,23962,8198312,
11651,4790715,0,0,
25161,6954341,0,0,
0,0,12912,3167658,
0,0,25257,8733899,
11492,4025002,0,0,
28008,8591004,0,0,
0,0,17208,4005624,
0,0,26608,9460204,
12984,4693496,0,0,
30003,8967367,0,0,
0,0,18319,4949569,
0,0,30106,9957890,
13276,3711482,0,0,
35494,10912426,0,0,
0,0,19188,3074044,
0,0,39172,13123652,
13460,2688322,0,0,
43359,13085435,0,0,
0,0,19279,2024213,
0,0,44911,15221395,
12688,2428950,0,0,
48482,14196012,0,0,
0,0,18466,1945200,
0,0,49514,16016750,
12966,1560700,0,0,
54134,16040820,0,0,
0,0,21461,2396547,
0,0,51262,16260484,
14444,2289806,0,0,
56121,16271867,0,0,
0,0,23525,2891277,
0,0,55320,16657596,
15297,1788621,0,0,
61748,17622568,0,0,
0,0,15356,1536136,
0,0,67571,18511607,
21435,2287275,0,0,
64451,18155729,0,0,
0,0,22176,1930846,
0,0,68060,18827314,
19703,2678489,0,0,
70201,18520421,0,0,
0,0,22228,1611224,
0,0,72000,19801302,
19022,2767052,0,0,
74328,19023862,0,0,
0,0,23023,1617453,
0,0,78065,20418253,
25052,3103746,0,0,
75152,19369276,0,0,
